text,label,description,cleaned_text,filtered_text,lemmatized_text
i feel so deeply shocked and saddened,5,surprise,i feel so deeply shocked and saddened,feel deeply shocked saddened,feel deeply shock sadden
i did manage two short runs and a walk but today im back to feeling just shy of awful,4,fear,i did manage two short runs and a walk but today im back to feeling just shy of awful,manage two short runs walk today im back feeling shy awful,manage two short run walk today im back feeling shy awful
im told by horsey people that they are a rare find so i feel quite lucky,1,joy,im told by horsey people that they are a rare find so i feel quite lucky,im told horsey people rare find feel quite lucky,im tell horsey people rare find feel quite lucky
i have not spent that much time with them but i just don t feel that comfortable there,1,joy,i have not spent that much time with them but i just don t feel that comfortable there,spent much time feel comfortable,spend much time feel comfortable
i think i brag and it feels strange because i still see myself as a little fattie pre teen unworthy of any male attention,5,surprise,i think i brag and it feels strange because i still see myself as a little fattie pre teen unworthy of any male attention,think brag feels strange still see little fattie pre teen unworthy male attention,think brag feel strange still see little fattie pre teen unworthy male attention
i cant help but feel a little humiliated,0,sad,i cant help but feel a little humiliated,cant help feel little humiliated,cant help feel little humiliate
i don t feel depressed for lack of a husband all the time,0,sad,i don t feel depressed for lack of a husband all the time,feel depressed lack husband time,feel depress lack husband time
i feel really lucky to be part of what looks like an active and friendly homeschooling group here in dubai,1,joy,i feel really lucky to be part of what looks like an active and friendly homeschooling group here in dubai,feel really lucky part looks like active friendly homeschooling group dubai,feel really lucky part look like active friendly homeschooling group dubai
i kicked you in the throat and now i feel terrific,1,joy,i kicked you in the throat and now i feel terrific,kicked throat feel terrific,kick throat feel terrific
im feeling much more positive about the impending move,1,joy,im feeling much more positive about the impending move,im feeling much positive impending move,im feeling much positive impend move
i want her to still feel appreciative of things i do for her,1,joy,i want her to still feel appreciative of things i do for her,want still feel appreciative things,want still feel appreciative thing
i am feeling mellow excited about it partly because i know annie will churn all kinds of emotions inside of me esp,1,joy,i am feeling mellow excited about it partly because i know annie will churn all kinds of emotions inside of me esp,feeling mellow excited partly know annie churn kinds emotions inside esp,feeling mellow excite partly know annie churn kind emotion inside esp
i want her to be able to trust me with everything i want her to feel like she is the most valuable thing on the face of the earth i want her to feel like there is nothing that i could ever even consider thinking about because of how amazing she is,1,joy,i want her to be able to trust me with everything i want her to feel like she is the most valuable thing on the face of the earth i want her to feel like there is nothing that i could ever even consider thinking about because of how amazing she is,want able trust everything want feel like valuable thing face earth want feel like nothing could ever even consider thinking amazing,want able trust everything want feel like valuable thing face earth want feel like nothing could ever even consider thinking amaze
im glad i have a god with whom i can feel safe,1,joy,im glad i have a god with whom i can feel safe,im glad god feel safe,im glad god feel safe
i doubles victory over brown struff we went back on sunday feeling really optimistic and looking forward to another day filled with more fedtastic tennis,1,joy,i doubles victory over brown struff we went back on sunday feeling really optimistic and looking forward to another day filled with more fedtastic tennis,doubles victory brown struff went back sunday feeling really optimistic looking forward another day filled fedtastic tennis,double victory brown struff go back sunday feeling really optimistic looking forward another day fill fedtastic tennis
i face turn red and feel shy emm no,4,fear,i face turn red and feel shy emm no,face turn red feel shy emm,face turn red feel shy emm
i hoped to get from her this weekend in an attempt to not feel so utterly isolated inside ambleside with the curtains firmly closed on what was the warmest sunniest day of the year so far,0,sad,i hoped to get from her this weekend in an attempt to not feel so utterly isolated inside ambleside with the curtains firmly closed on what was the warmest sunniest day of the year so far,hoped get weekend attempt feel utterly isolated inside ambleside curtains firmly closed warmest sunniest day year far,hop get weekend attempt feel utterly isolate inside ambleside curtain firmly close warm sunny day year far
i felt the sadness and remorse we are supposed to feel when we realize we have wronged someone corinthians,3,anger,i felt the sadness and remorse we are supposed to feel when we realize we have wronged someone corinthians,felt sadness remorse supposed feel realize wronged someone corinthians,felt sadness remorse suppose feel realize wrong someone corinthian
i really feel that we are progressing towards a society that is more fearless incrementally throwing away seemingly rigid boundaries like paranoia over security of one s belongings a href http www,1,joy,i really feel that we are progressing towards a society that is more fearless incrementally throwing away seemingly rigid boundaries like paranoia over security of one s belongings a,really feel progressing towards society fearless incrementally throwing away seemingly rigid boundaries like paranoia security one belongings,really feel progress towards society fearless incrementally throw away seemingly rigid boundary like paranoia security one belonging
i feel so unimportant insignificant like im slipping through the gaps between his fingers and he doesnt care,0,sad,i feel so unimportant insignificant like im slipping through the gaps between his fingers and he doesnt care,feel unimportant insignificant like im slipping gaps fingers doesnt care,feel unimportant insignificant like im slip gap finger doesnt care
i am feeling a tad smug right now,1,joy,i am feeling a tad smug right now,feeling tad smug right,feeling tad smug right
i think browsers are more comfortable in my booth if all my attention is not focused on them and they don t feel pressured to make a purchase,4,fear,i think browsers are more comfortable in my booth if all my attention is not focused on them and they don t feel pressured to make a purchase,think browsers comfortable booth attention focused feel pressured make purchase,think browser comfortable booth attention focus feel pressure make purchase
i did develop unknown feelings for him i think thats the reason why i feel like ive been settling for all the other guys who liked me,2,love,i did develop unknown feelings for him i think thats the reason why i feel like ive been settling for all the other guys who liked me,develop unknown feelings think thats reason feel like ive settling guys liked,develop unknown feeling think thats reason feel like ive settling guy like
i wasnt feeling that hot prior to vineman but with a little racin and a lot of self talk im now in a better spot mentally and physically,2,love,i wasnt feeling that hot prior to vineman but with a little racin and a lot of self talk im now in a better spot mentally and physically,wasnt feeling hot prior vineman little racin lot self talk im better spot mentally physically,wasnt feeling hot prior vineman little racin lot self talk im better spot mentally physically
i visit m ller in my country and go to the expensive make up stands the sales assistants are always standing right next to me and looking at me like im going to steal something so i feel really uncomfortable shopping there,4,fear,i visit m ller in my country and go to the expensive make up stands the sales assistants are always standing right next to me and looking at me like im going to steal something so i feel really uncomfortable shopping there,visit ller country go expensive make stands sales assistants always standing right next looking like im going steal something feel really uncomfortable shopping,visit ller country go expensive make stand sale assistant always standing right next looking like im going steal something feel really uncomfortable shopping
i was eager to know why i was feeling unhappy and unsatisfied,0,sad,i was eager to know why i was feeling unhappy and unsatisfied,eager know feeling unhappy unsatisfied,eager know feeling unhappy unsatisfied
i feel crappy actually,0,sad,i feel crappy actually,feel crappy actually,feel crappy actually
i feel so invigorated so focused about what im being led to pursue right now and in the future,1,joy,i feel so invigorated so focused about what im being led to pursue right now and in the future,feel invigorated focused im led pursue right future,feel invigorate focus im led pursue right future
i feel i am shy and i am afraid of keeping my point of view,4,fear,i feel i am shy and i am afraid of keeping my point of view,feel shy afraid keeping point view,feel shy afraid keeping point view
i feel like i get a lot of questions in my list of search phrases that point people here and sometimes i m awfully disturbed at the things that somehow bring my blog up in a search engine,0,sad,i feel like i get a lot of questions in my list of search phrases that point people here and sometimes i m awfully disturbed at the things that somehow bring my blog up in a search engine,feel like get lot questions list search phrases point people sometimes awfully disturbed things somehow bring blog search engine,feel like get lot question list search phrase point people sometimes awfully disturb thing somehow bring blog search engine
i couldn t help but feel sympathetic for netflix as an army of the misinformed denounced netflix for the recent price hike,2,love,i couldn t help but feel sympathetic for netflix as an army of the misinformed denounced netflix for the recent price hike,help feel sympathetic netflix army misinformed denounced netflix recent price hike,help feel sympathetic netflix army misinform denounce netflix recent price hike
im not going to lie i feel a little insulted,3,anger,im not going to lie i feel a little insulted,im going lie feel little insulted,im going lie feel little insult
i feel peaceful and unafraid certain that my god has my best interests at heart,1,joy,i feel peaceful and unafraid certain that my god has my best interests at heart,feel peaceful unafraid certain god best interests heart,feel peaceful unafraid certain god best interest heart
i feel awful and have had chills on and off day and night,0,sad,i feel awful and have had chills on and off day and night,feel awful chills day night,feel awful chill day night
i was feeling at the start didnt want to move much at all was really glad to experience this glimpse into the sort of vibrant energy i will gain through out the year,1,joy,i was feeling at the start didnt want to move much at all was really glad to experience this glimpse into the sort of vibrant energy i will gain through out the year,feeling start didnt want move much really glad experience glimpse sort vibrant energy gain year,feeling start didnt want move much really glad experience glimpse sort vibrant energy gain year
i feel virtuous for going to spin class then driving all the way to blackburn in the manual unsupervised and sucessfully handbrake starting,1,joy,i feel virtuous for going to spin class then driving all the way to blackburn in the manual unsupervised and sucessfully handbrake starting,feel virtuous going spin class driving way blackburn manual unsupervised sucessfully handbrake starting,feel virtuous going spin class driving way blackburn manual unsupervised sucessfully handbrake starting
i feel like nothing can stop me and sometimes i feel like so defeated,0,sad,i feel like nothing can stop me and sometimes i feel like so defeated,feel like nothing stop sometimes feel like defeated,feel like nothing stop sometimes feel like defeated
i email authors about interviews i feel a little intimidated,4,fear,i email authors about interviews i feel a little intimidated,email authors interviews feel little intimidated,email author interview feel little intimidate
i believe people who use fulsome manners only for social reasons they aren t on the top of the scale of human evolution and i feel hurt by their fake behavior,0,sad,i believe people who use fulsome manners only for social reasons they aren t on the top of the scale of human evolution and i feel hurt by their fake behavior,believe people use fulsome manners social reasons top scale human evolution feel hurt fake behavior,believe people use fulsome manner social reason top scale human evolution feel hurt fake behavior
im not necessarily sure what but something in the education system must change or students can feel anxiety and pressure with needing to be flawless with their vast knowledge of the world,1,joy,im not necessarily sure what but something in the education system must change or students can feel anxiety and pressure with needing to be flawless with their vast knowledge of the world,im necessarily sure something education system must change students feel anxiety pressure needing flawless vast knowledge world,im necessarily sure something education system must change student feel anxiety pressure need flawless vast knowledge world
i dont think my desire level is too much to bear but i feel unwelcome,0,sad,i dont think my desire level is too much to bear but i feel unwelcome,dont think desire level much bear feel unwelcome,dont think desire level much bear feel unwelcome
i am feeling a lil bit gloomy,0,sad,i am feeling a lil bit gloomy,feeling lil bit gloomy,feeling lil bit gloomy
i find that i never stop feeling excited for our company s future,1,joy,i find that i never stop feeling excited for our company s future,find never stop feeling excited company future,find never stop feeling excite company future
i am grateful for every single thing i have maybe then ill start feeling dismayed when i don t have more,0,sad,i am grateful for every single thing i have maybe then ill start feeling dismayed when i don t have more,grateful every single thing maybe ill start feeling dismayed,grateful every single thing maybe ill start feeling dismay
i feel so stupid to think they will trust me,0,sad,i feel so stupid to think they will trust me,feel stupid think trust,feel stupid think trust
i feel awful everytime ac,0,sad,i feel awful everytime ac,feel awful everytime ac,feel awful everytime ac
i like the feeling of making some difference this time i was really reluctant to change at first however get used to it after a while,4,fear,i like the feeling of making some difference this time i was really reluctant to change at first however get used to it after a while,like feeling making difference time really reluctant change first however get used,like feeling making difference time really reluctant change first however get use
i feel like life was so flawless for so very long and now i am stressed out and wanting to cry half the time,1,joy,i feel like life was so flawless for so very long and now i am stressed out and wanting to cry half the time,feel like life flawless long stressed wanting cry half time,feel like life flawless long stress want cry half time
i feel shafted or greedy,3,anger,i feel shafted or greedy,feel shafted greedy,feel shaft greedy
i stop feeling so depressed and,0,sad,i stop feeling so depressed and,stop feeling depressed,stop feeling depress
i feel so emotional reaching three finals in four years,0,sad,i feel so emotional reaching three finals in four years,feel emotional reaching three finals four years,feel emotional reaching three final four year
i wasnt feeling well yesterday and today has been randomly busy,1,joy,i wasnt feeling well yesterday and today has been randomly busy,wasnt feeling well yesterday today randomly busy,wasnt feeling well yesterday today randomly busy
i the ultimate place to restore the peace to feel divine to kneel for worship and to attain hapiness,1,joy,i the ultimate place to restore the peace to feel divine to kneel for worship and to attain hapiness,ultimate place restore peace feel divine kneel worship attain hapiness,ultimate place restore peace feel divine kneel worship attain hapiness
im feeling really positive desp,1,joy,im feeling really positive desp,im feeling really positive desp,im feeling really positive desp
i feel when i read your words and realize one more time just how very good of a writer you are the feeling of shared sympathies,1,joy,i feel when i read your words and realize one more time just how very good of a writer you are the feeling of shared sympathies,feel read words realize one time good writer feeling shared sympathies,feel read word realize one time good writer feeling share sympathy
i feel pity for gatsby because the longing he feels for the past is so evident,2,love,i feel pity for gatsby because the longing he feels for the past is so evident,feel pity gatsby longing feels past evident,feel pity gatsby longing feel past evident
i met you i used to want to lock myself into a vault just to feel precious,1,joy,i met you i used to want to lock myself into a vault just to feel precious,met used want lock vault feel precious,meet use want lock vault feel precious
i really hate that feeling when youre unsure about something,4,fear,i really hate that feeling when youre unsure about something,really hate feeling youre unsure something,really hate feeling youre unsure something
i feel like those rich people all fall into the category of don t belong when i see them on the bus,1,joy,i feel like those rich people all fall into the category of don t belong when i see them on the bus,feel like rich people fall category belong see bus,feel like rich people fall category belong see bus
i write which is what i consider my real profession even though by teaching poetry to troubled and poor kids i feel i m doing something useful,1,joy,i write which is what i consider my real profession even though by teaching poetry to troubled and poor kids i feel i m doing something useful,write consider real profession even though teaching poetry troubled poor kids feel something useful,write consider real profession even though teaching poetry trouble poor kid feel something useful
i feel honored to be witness to another s process,1,joy,i feel honored to be witness to another s process,feel honored witness another process,feel honor witness another process
i had a horrible tragedy something that i was terribly ashamed of or something that was causing me great pain or that was making me feel vulnerable i have more than just one or two very trusted people who i know i could call for help,4,fear,i had a horrible tragedy something that i was terribly ashamed of or something that was causing me great pain or that was making me feel vulnerable i have more than just one or two very trusted people who i know i could call for help,horrible tragedy something terribly ashamed something causing great pain making feel vulnerable one two trusted people know could call help,horrible tragedy something terribly ashamed something causing great pain making feel vulnerable one two trust people know could call help
i feel stupid and incapable and i dont know what i want to do and work is stupid and only for the next two weeks and i m questioning everything,0,sad,i feel stupid and incapable and i dont know what i want to do and work is stupid and only for the next two weeks and i m questioning everything,feel stupid incapable dont know want work stupid next two weeks questioning everything,feel stupid incapable dont know want work stupid next two week questioning everything
i am writing this at a time when i have also had an upset with the only real parent i have had almost constantly in my life and when theres no brothers and sisters around either i am an only child it feels kinda lonely,0,sad,i am writing this at a time when i have also had an upset with the only real parent i have had almost constantly in my life and when theres no brothers and sisters around either i am an only child it feels kinda lonely,writing time also upset real parent almost constantly life theres brothers sisters around either child feels kinda lonely,writing time also upset real parent almost constantly life there brother sister around either child feel kinda lonely
i feel like this concert was much more successful than the previous one,1,joy,i feel like this concert was much more successful than the previous one,feel like concert much successful previous one,feel like concert much successful previous one
i was just feeling needy,0,sad,i was just feeling needy,feeling needy,feeling needy
i also feel so awful feeling this way,0,sad,i also feel so awful feeling this way,also feel awful feeling way,also feel awful feeling way
i always intended on achieving just so i could be with everyone else and feel like i was an intelligent productive and successful person,1,joy,i always intended on achieving just so i could be with everyone else and feel like i was an intelligent productive and successful person,always intended achieving could everyone else feel like intelligent productive successful person,always intend achieve could everyone else feel like intelligent productive successful person
i feel like i have been beaten hard with a baseball bat under my arm which the doctor said was a very apt description,0,sad,i feel like i have been beaten hard with a baseball bat under my arm which the doctor said was a very apt description,feel like beaten hard baseball bat arm doctor said apt description,feel like beat hard baseball bat arm doctor say apt description
i feel overwhelmingly remorseful and guilty when i watch too much news or too many sad movies or television dramas,0,sad,i feel overwhelmingly remorseful and guilty when i watch too much news or too many sad movies or television dramas,feel overwhelmingly remorseful guilty watch much news many sad movies television dramas,feel overwhelmingly remorseful guilty watch much news many sad movie television drama
i feel completely drained physically and mentally worn out,0,sad,i feel completely drained physically and mentally worn out,feel completely drained physically mentally worn,feel completely drain physically mentally wear
i feel wonderful im tipping over backwards im so ambitious im looking back im running a race and youre the books i read so feel my fingers as they touch you arms im spinning around and i feel alright the book i read was in your eyes,1,joy,i feel wonderful im tipping over backwards im so ambitious im looking back im running a race and youre the books i read so feel my fingers as they touch you arms im spinning around and i feel alright the book i read was in your eyes,feel wonderful im tipping backwards im ambitious im looking back im running race youre books read feel fingers touch arms im spinning around feel alright book read eyes,feel wonderful im tip backwards im ambitious im looking back im running race youre book read feel finger touch arm im spinning around feel alright book read eye
im feeling so broke right now but i loved every minute of it,0,sad,im feeling so broke right now but i loved every minute of it,im feeling broke right loved every minute,im feeling break right love every minute
i want to say that i feel vulnerable writing and sharing this info,4,fear,i want to say that i feel vulnerable writing and sharing this info,want say feel vulnerable writing sharing info,want say feel vulnerable writing sharing info
i was using it to vent out ugly feelings and be vicious and nasty rather then deal with them like an adult,3,anger,i was using it to vent out ugly feelings and be vicious and nasty rather then deal with them like an adult,using vent ugly feelings vicious nasty rather deal like adult,using vent ugly feeling vicious nasty rather deal like adult
i always thought that if i contracted something from one of those people and passed it on to him that i d feel awful but after i got the sti test i thought i was basically in the clear,0,sad,i always thought that if i contracted something from one of those people and passed it on to him that i d feel awful but after i got the sti test i thought i was basically in the clear,always thought contracted something one people passed feel awful got sti test thought basically clear,always thought contract something one people pass feel awful get sti test thought basically clear
i didnt feel that there were enough strong smart and funny female main characters in fiction and since thats what i imagine myself to be i started writing,1,joy,i didnt feel that there were enough strong smart and funny female main characters in fiction and since thats what i imagine myself to be i started writing,didnt feel enough strong smart funny female main characters fiction since thats imagine started writing,didnt feel enough strong smart funny female main character fiction since thats imagine start writing
i would just go to the straight point rather than doing a defination of such as what is romance feeling or anger feeling or suspicious feelings,4,fear,i would just go to the straight point rather than doing a defination of such as what is romance feeling or anger feeling or suspicious feelings,would go straight point rather defination romance feeling anger feeling suspicious feelings,would go straight point rather defination romance feeling anger feeling suspicious feeling
i wasnt feeling casual much,1,joy,i wasnt feeling casual much,wasnt feeling casual much,wasnt feeling casual much
i feel slightly emotional watching it,0,sad,i feel slightly emotional watching it,feel slightly emotional watching,feel slightly emotional watching
i feel like i ve regained another vital part of my life which is living,1,joy,i feel like i ve regained another vital part of my life which is living,feel like regained another vital part life living,feel like regain another vital part life living
i went up to the teacher and said im gonna step outside for a second im really not feeling too well,1,joy,i went up to the teacher and said im gonna step outside for a second im really not feeling too well,went teacher said im gonna step outside second im really feeling well,go teacher say im gonna step outside second im really feeling well
i pray that each of you who is hurting or feeling afraid tonight finds peace and soon,4,fear,i pray that each of you who is hurting or feeling afraid tonight finds peace and soon,pray hurting feeling afraid tonight finds peace soon,pray hurting feeling afraid tonight find peace soon
i could feel myself getting that shaky feeling,4,fear,i could feel myself getting that shaky feeling,could feel getting shaky feeling,could feel getting shaky feeling
i feel more crucified heartbroken tortured and forsaken than i have ever before felt but not at the hands of my enemy at the hands of those i love,0,sad,i feel more crucified heartbroken tortured and forsaken than i have ever before felt but not at the hands of my enemy at the hands of those i love,feel crucified heartbroken tortured forsaken ever felt hands enemy hands love,feel crucify heartbroken torture forsake ever felt hand enemy hand love
i feel like he was more important to me than i thought he was,1,joy,i feel like he was more important to me than i thought he was,feel like important thought,feel like important thought
i believe its possible to be joyful and full of thanks while feeling overwhelmed and exhausted by life,5,surprise,i believe its possible to be joyful and full of thanks while feeling overwhelmed and exhausted by life,believe possible joyful full thanks feeling overwhelmed exhausted life,believe possible joyful full thanks feeling overwhelm exhaust life
i want people to feel brave and i want society to accept us as disabled people amongst us who deserve dignity and respect not to be shunned and laughed at,1,joy,i want people to feel brave and i want society to accept us as disabled people amongst us who deserve dignity and respect not to be shunned and laughed at,want people feel brave want society accept us disabled people amongst us deserve dignity respect shunned laughed,want people feel brave want society accept u disabled people amongst u deserve dignity respect shun laugh
im feeling awfully spiteful right now,3,anger,im feeling awfully spiteful right now,im feeling awfully spiteful right,im feeling awfully spiteful right
i feel more of a sense of longing than of loss,2,love,i feel more of a sense of longing than of loss,feel sense longing loss,feel sense longing loss
i guess you cant see how wed feel a bit unwelcome,0,sad,i guess you cant see how wed feel a bit unwelcome,guess cant see wed feel bit unwelcome,guess cant see wed feel bit unwelcome
i stay up and feel foolish,0,sad,i stay up and feel foolish,stay feel foolish,stay feel foolish
i think people born in the s and s hold the key to opening many doors for us we just need to make them feel treasured enough to share it,2,love,i think people born in the s and s hold the key to opening many doors for us we just need to make them feel treasured enough to share it,think people born hold key opening many doors us need make feel treasured enough share,think people born hold key opening many door u need make feel treasure enough share
i would like to reduce the amount of jealousy i feel god commands us not to be jealous and i feel that every jew religious or not should obey that prohibition,3,anger,i would like to reduce the amount of jealousy i feel god commands us not to be jealous and i feel that every jew religious or not should obey that prohibition,would like reduce amount jealousy feel god commands us jealous feel every jew religious obey prohibition,would like reduce amount jealousy feel god command u jealous feel every jew religious obey prohibition
i feel so highly intimidated that i get flustered and cant form my words not even in english with her,4,fear,i feel so highly intimidated that i get flustered and cant form my words not even in english with her,feel highly intimidated get flustered cant form words even english,feel highly intimidate get fluster cant form word even english
i feel reluctant talking about myself and my current situation to you as i don t know how you ll feel but i guess its important you know all about me and the situation i am in so that we ll know if we can go further,4,fear,i feel reluctant talking about myself and my current situation to you as i don t know how you ll feel but i guess its important you know all about me and the situation i am in so that we ll know if we can go further,feel reluctant talking current situation know feel guess important know situation know go,feel reluctant talking current situation know feel guess important know situation know go
i learned in the foundry of my own childhood that humor made a perfect shield for keeping people at bay for helping me conceal my true feelings for lending the appearance of truth to all the lies i would tell about how happy i was and for providing me with the wherewithal to get through each day,1,joy,i learned in the foundry of my own childhood that humor made a perfect shield for keeping people at bay for helping me conceal my true feelings for lending the appearance of truth to all the lies i would tell about how happy i was and for providing me with the wherewithal to get through each day,learned foundry childhood humor made perfect shield keeping people bay helping conceal true feelings lending appearance truth lies would tell happy providing wherewithal get day,learn foundry childhood humor make perfect shield keeping people bay helping conceal true feeling lending appearance truth lie would tell happy provide wherewithal get day
id never do but i woke feeling stressed,0,sad,id never do but i woke feeling stressed,id never woke feeling stressed,id never wake feeling stress
i feel i need to put my beloved uggs to one side and get back on the ballet pump bandwagon,2,love,i feel i need to put my beloved uggs to one side and get back on the ballet pump bandwagon,feel need put beloved uggs one side get back ballet pump bandwagon,feel need put beloved uggs one side get back ballet pump bandwagon
i feel terrible about the lady driver though,0,sad,i feel terrible about the lady driver though,feel terrible lady driver though,feel terrible lady driver though
i had a pretty trying adolescence and any time im put into a situation where im made to feel inadequate it makes me revert right back into the shy awkward teenager with low self esteem that i was in high school,0,sad,i had a pretty trying adolescence and any time im put into a situation where im made to feel inadequate it makes me revert right back into the shy awkward teenager with low self esteem that i was in high school,pretty trying adolescence time im put situation im made feel inadequate makes revert right back shy awkward teenager low self esteem high school,pretty try adolescence time im put situation im make feel inadequate make revert right back shy awkward teenager low self esteem high school
i am being told i should feel satisfied because i am in good standing with the powers that be,1,joy,i am being told i should feel satisfied because i am in good standing with the powers that be,told feel satisfied good standing powers,tell feel satisfy good standing power
i actually just feel really eager,1,joy,i actually just feel really eager,actually feel really eager,actually feel really eager
im sitting here in the belmont library listening to hold on tight by electric light orchestra feeling a bit of discontent,0,sad,im sitting here in the belmont library listening to hold on tight by electric light orchestra feeling a bit of discontent,im sitting belmont library listening hold tight electric light orchestra feeling bit discontent,im sitting belmont library listening hold tight electric light orchestra feeling bit discontent
i feel really bless to have a very supportive family who appreciate everything that i do,2,love,i feel really bless to have a very supportive family who appreciate everything that i do,feel really bless supportive family appreciate everything,feel really bless supportive family appreciate everything
i feel so welcomed,1,joy,i feel so welcomed,feel welcomed,feel welcome
i shut the door but i didn t feel triumphant,1,joy,i shut the door but i didn t feel triumphant,shut door feel triumphant,shut door feel triumphant
i was feeling pretty wiped out mentally amp physically i was determined to get some oxygen to my brain,1,joy,i was feeling pretty wiped out mentally amp physically i was determined to get some oxygen to my brain,feeling pretty wiped mentally amp physically determined get oxygen brain,feeling pretty wipe mentally amp physically determine get oxygen brain
i said in some recent interviews we will have two guests on the next alcest album and today i feel glad to reveal the first one,1,joy,i said in some recent interviews we will have two guests on the next alcest album and today i feel glad to reveal the first one,said recent interviews two guests next alcest album today feel glad reveal first one,say recent interview two guest next alcest album today feel glad reveal first one
my roommate was rude to me,3,anger,my roommate was rude to me,roommate rude,roommate rude
i feel so weird not saying goodnight to mike,5,surprise,i feel so weird not saying goodnight to mike,feel weird saying goodnight mike,feel weird saying goodnight mike
i feel lighter and more compassionate after i have these little talks with myself,2,love,i feel lighter and more compassionate after i have these little talks with myself,feel lighter compassionate little talks,feel lighter compassionate little talk
i was impressed with how dunham portrayed hannahs whole experience from trying to deny that its happening to feeling offended when you feel like someone is trying to minimise the distress its causing you,3,anger,i was impressed with how dunham portrayed hannahs whole experience from trying to deny that its happening to feeling offended when you feel like someone is trying to minimise the distress its causing you,impressed dunham portrayed hannahs whole experience trying deny happening feeling offended feel like someone trying minimise distress causing,impress dunham portray hannahs whole experience try deny happening feeling offend feel like someone try minimise distress causing
i watched his face contort in sadness i began to feel regretful of my actions,0,sad,i watched his face contort in sadness i began to feel regretful of my actions,watched face contort sadness began feel regretful actions,watch face contort sadness begin feel regretful action
i have been stumbling into quote after quote urging me because i really do feel they are meant for me to do away with my hated day job and dedicate my efforts to what matters most,0,sad,i have been stumbling into quote after quote urging me because i really do feel they are meant for me to do away with my hated day job and dedicate my efforts to what matters most,stumbling quote quote urging really feel meant away hated day job dedicate efforts matters,stumble quote quote urging really feel mean away hat day job dedicate effort matter
i prayed to trust god with my desire to feel a divine sense of home,1,joy,i prayed to trust god with my desire to feel a divine sense of home,prayed trust god desire feel divine sense home,pray trust god desire feel divine sense home
i found is that feeling worthless is a waste of time,0,sad,i found is that feeling worthless is a waste of time,found feeling worthless waste time,found feeling worthless waste time
i feel totally carefree with them around,1,joy,i feel totally carefree with them around,feel totally carefree around,feel totally carefree around
i will not go into details from that long night but i woke up for our am bus feeling like i could barely stand and not trusting the pit in my stomach,1,joy,i will not go into details from that long night but i woke up for our am bus feeling like i could barely stand and not trusting the pit in my stomach,go details long night woke bus feeling like could barely stand trusting pit stomach,go detail long night wake bus feeling like could barely stand trust pit stomach
i feel so incredibly graceful and sexy in this pose i have to say,1,joy,i feel so incredibly graceful and sexy in this pose i have to say,feel incredibly graceful sexy pose say,feel incredibly graceful sexy pose say
i feel unimportant but even if i am in some way its still not my place to be making any decisions or voicing my opinions and its certainly not my place to be sharing my feelings,0,sad,i feel unimportant but even if i am in some way its still not my place to be making any decisions or voicing my opinions and its certainly not my place to be sharing my feelings,feel unimportant even way still place making decisions voicing opinions certainly place sharing feelings,feel unimportant even way still place making decision voicing opinion certainly place sharing feeling
i am learning to step back and call it out to not be too proud to admit that yes i am feeling annoyed and yes i should tell you why,3,anger,i am learning to step back and call it out to not be too proud to admit that yes i am feeling annoyed and yes i should tell you why,learning step back call proud admit yes feeling annoyed yes tell,learning step back call proud admit yes feeling annoy yes tell
i want to avoid feeling disliked,0,sad,i want to avoid feeling disliked,want avoid feeling disliked,want avoid feeling dislike
i feel pretty lame typing that but my upper body is so weak,0,sad,i feel pretty lame typing that but my upper body is so weak,feel pretty lame typing upper body weak,feel pretty lame typing upper body weak
i feel very needy,0,sad,i feel very needy,feel needy,feel needy
i feel and i think that should be respected,1,joy,i feel and i think that should be respected,feel think respected,feel think respect
i was feeling a little like a cold was coming on,3,anger,i was feeling a little like a cold was coming on,feeling little like cold coming,feeling little like cold coming
i just wanna say that the last three months i feel so happy about my blog,1,joy,i just wanna say that the last three months i feel so happy about my blog,wanna say last three months feel happy blog,wanna say last three month feel happy blog
i left feeling defeated like nothing had been accomplished the day a complete waste of time amp energy,0,sad,i left feeling defeated like nothing had been accomplished the day a complete waste of time amp energy,left feeling defeated like nothing accomplished day complete waste time amp energy,left feeling defeated like nothing accomplish day complete waste time amp energy
i had ritz crackers in my desk drawer because theyre something ill eat even when i feel crappy and or dont feel like eating,0,sad,i had ritz crackers in my desk drawer because theyre something ill eat even when i feel crappy and or dont feel like eating,ritz crackers desk drawer theyre something ill eat even feel crappy dont feel like eating,ritz cracker desk drawer theyre something ill eat even feel crappy dont feel like eating
i feel that tenure protects a lot of teachers that r innocent,1,joy,i feel that tenure protects a lot of teachers that r innocent,feel tenure protects lot teachers r innocent,feel tenure protect lot teacher r innocent
i always feel i always understand that the people who are being the most hateful and harmful towards me are hurting themselves and taught wrongly and i hurt for them because i want to go back and undo the pain and childhood bigotry that binds their lives into this path,3,anger,i always feel i always understand that the people who are being the most hateful and harmful towards me are hurting themselves and taught wrongly and i hurt for them because i want to go back and undo the pain and childhood bigotry that binds their lives into this path,always feel always understand people hateful harmful towards hurting taught wrongly hurt want go back undo pain childhood bigotry binds lives path,always feel always understand people hateful harmful towards hurting teach wrongly hurt want go back undo pain childhood bigotry bind life path
i did wake up this morning feeling more like myself so after days of sloth i was keen to get geared up and head to higher altitudes,1,joy,i did wake up this morning feeling more like myself so after days of sloth i was keen to get geared up and head to higher altitudes,wake morning feeling like days sloth keen get geared head higher altitudes,wake morning feeling like day sloth keen get gear head high altitude
